report,category,severity
A motor cruiser with three people onboard was reported as taking on water as the engine bung had been left out before launching. A fishing vessel towed the motor cruiser to a slipway where it was recovered safely before a coastguard team and search and rescue vessel arrived. The motor cruiser suffered no damage and was successfully bailed out before refloating on the flood tide.,Flooding / Foundering,Critical
"A ro-ro cargo vessel threw an unsafely weighted heaving line down to a pilot launch that was alongside, resulting in the center windscreen of the pilot launch being smashed. The heaving line was weighted with a carabiner clip and was thrown by the crew of the ro-ro cargo vessel, rather than being lowered. There were no injuries. ",Damage / Loss Of Equipment,Critical
"A ro-pax vessel was alongside when one of it's auxiliary engines experienced an oil mist alarm. The crew started the emergency generator to provide power whilst that engine was offline. The emergency generator then began to emit sparks from the area of the turbo charger. The crew started fire fighting measures, isolating the space and commencing boundary cooling and activating the fixed CO2 fire extinguishing system. The vessel was alongside at the time, so shore side fire services also attended to ensure there was no further risk to the vessel or people. There were no passengers on board at the time and all crew were accounted for and uninjured. Emergency generator and emergency switchboard damaged. Fire damage to the emergency generator compartment: lights, insulation etc ",Fire / Explosion,Medium
"An inland waterways passenger vessel was heading downstream when the helm altered course to avoid rowers on the wrong side. The vessel went into shallow water and became grounded on the mud. The helm was able to manoeuvre the vessel free and continue once the rowers had passed. There was no loss of power experienced at any point during the incident, no injury to passengers nor any damage to the vessel. Inspection report has been completed.",Grounding / Stranding,Low
"A search and rescue (SAR) vessel was tasked along with a second SAR vessel to fishing vessel that was aground. The two SAR vessels arrived on scene along with a coastguard rescue team (CRT), the first SAR vessel was requested to tow the grounded vessel back to open water. As the tow was under taken, the fishing vessel entered deeper water and in a very short space of time sunk. It subsequently became apparent that there was a person on board as they came to the surface approx 30 seconds later.  A SAR crew member entered the water to assist them before they were taken ashore and first aid administered. The casualty was then transferred to hospital where they were declared deceased the following morning.",Grounding / Stranding,High
"A fishing vessel crew member caught their hand between a metal structure onboard resulting in a crush injury. The crew member sustained a deep laceration and bruising to their hand and a possible fracture to the thumb and finger. The crew requested medical advice by radio, a helicopter was tasked to the scene to evacuate the crew member and transfer them to hospital for further treatment.",Accident to person(s),Critical
"A single-handed creel potter was heading out to where it had left its creel pots when it experienced propulsion failure and was not able to restart the engine. The skipper alerted the coastguard and the vessel was towed back to its home port. The engine was later repaired. There was no damage, injuries or pollution. ",Loss Of Control,Critical
A cruise ship passenger fell after tripping over the threshold between a carpeted and tiled deck. They fell to the deck and fractured a rib. After receiving treatment on board they remained on board the cruise for the rest of their holiday. The crew inspected the area and found no defects.,Accident to person(s),Low
Recreational craft was approaching a harbour when another vessel was departing. The crew member was monitoring the depth and being careful to make sufficient space for the vessel to pass. The crew member slowed the vessel as there was an indication of depth shoal to approximately 0.5m.   Grounding was not evident until power applied. The vessel was aground between 30 seconds and 1 minute. No damages/injuries reported. ,Grounding / Stranding,Low
Motor boat suffered engine failure and was towed back to harbour.,Loss Of Control,Critical
"Whilst a general cargo vessel was berthing, the tidal effects pushed the vessel onto the quayside causing some damage to the quayside and the bulbous bow.",Contact,Critical
"Pilot ladder aspect initially braced against two shackles which could be seen from the bridge prior to disembarkation. The Master was asked to rig ladder correctly using ropes on the side ropes, this was done but secured to the uncertified ship's railings despite proper lashing points being available where the shackles had been. Only one magnet available to secure pilot ladder. Tripping line fitted to bottom of pilot ladder which was noted from the bridge and asked to be removed, it was still there when I disembarked. ",Damage / Loss Of Equipment,Critical
Inland waterway vessel's crew member was stepping across to a sister ship post berthing when they caught their boot resulting in a stumble. All of the casualties weight went on to their ankle resulting in further medical assistance. ,Accident to person(s),Low
"A tender with two people onboard were heading to a fishing vessel when the tender capsized and both people entered the water. Emergency services were called, two search and recue (SAR) vessels, helicopter and a rescue team were tasked to the scene. One casualty who was wearing a lifejacket was able to swim back to shore and passed into the care of the ambulance service. The second casualty who was not wearing a lifejacket was still in the water and drifting, a search was carried out. The casualty was recovered by the rescue team, CPR commenced and the casualty was medi-vac'd to hospital by helicopter. They later died in hospital.",Accident to person(s),High
"Support vessels crew member fell down external stairwell resulting in multiple injuries to the ribs, spine and head. At 2240 a loud vocal alarm was raised due to loud noises / banging being heard outside, that a casualty had been found (External stairwell/ladders Port side from 04 deck to 03 deck landing on 03 deck.) A pipe was then made for the ships First aid party and onboard Doctor to attend the scene. The casualty was found at the foot of the external stairway. It remains unclear if the injured party fell down the whole flight of stairs or part way.",Accident to person(s),Low
"A crew member fell overboard from the vessel during a race, they were safely recovered by crew members on the vessel and did not require any medical attention or coastguard assistance. The vessel returned safely to a local port.",Accident to person(s),Critical
A person fell overboard from a capsized punt. They spent approximately 30 minutes in the water and was recovered by a workboat and passed into the care of the ambulance services. The vessel sunk in shallow water but is recoverable and the casualty was able to walk to the ambulance. ,Capsizing / Listing,Critical
"A sailing yacht was in a race with five crew onboard, all wearing lifejackets. The yacht was sailing a breaking wave that swamped the cockpit and activated four lifejackets. As the water cleared three crew were in the cockpit with one sustaining a fractured tibia though this was not diagnosed until the following day. One crew member was overboard but tethered by their safety line and quickly pulled back onboard. The fifth crew member was spotted in the water about 10-15 metres away. The yacht carried out a man overboard (MOB) procedure but failed the first attempt. A Pan Pan was issued advising the Coastguard that they had a MOB and they were attempting to recover. A helicopter and search and rescue (SAR) vessel were tasked to the scene. The yacht recovered the MOB on the third attempt. Once on scene the SAR vessel assessed the crew member's condition, the crew member remained onboard and the yacht returned to shore.",Accident to person(s),Low
"A search and rescue vessel was involved for a search for a reported person in the water along the coast of a beach. To aid the search they launched their daughter craft with two crew on board. As the daughter craft went in closer to the coast, the wave action on the beach was higher than anticipated which resulted in the daughter craft heeling over. One crew member fell overboard when the vessel heeled and the second crew member voluntarily jumped into the water, which was waist deep, to stabilize the craft and to recover the other crew member.  The two crew were unharmed and were able to reboard the craft and return to the main search and rescue vessel. They were checked over and were unharmed. The heeling event was reported to have happened due to the fact that the lights on the main vessel were not strong enough to illuminate closer into the shore and therefore the crew underestimated the size of the waves close to the shore. The sea state was assumed to be calmer than it was. ",Accident to person(s),Critical
A cruise ship passenger had entered a pool without using a ladder despite a sign instructing them to do so and hit the bottom of the pool which resulted in a fracture of their right ankle.,Accident to person(s),Low
Cargo vessel was approaching the berth when it made contact with the quay. This resulted in a cracked quay and the vessel's bow quarter has scratches. ,Contact,Critical
"A dive vessel lost propulsion in high winds due to fouled propellers and was pinned against a nearby jetty causing minor scrapping, requiring a tow from a lifeboat. Vessel was fishing in nearby bay. The wind rose and so the vessel pulled up the anchor to depart but found one motor fouled by the anchor. Shortly afterwards the second propeller became fouled on a pot buoy anchor. The sea conditions were too severe to allow the crew to retrieve the second anchor from the roof of the wheelhouse, so they called CG. The vessel drifted towards the jetty and became pinned underneath the jetty and had to be towed to safety by the local lifeboat services. There were no injuries or pollution. Some minor damage to the dive vessel. ",Loss Of Control,Critical
A crude oil tanker had a non-SOLAS compliant pilot ladder. It was rigged through a trap-door arrangement as part of a combination ladder. However the ladder was behind a wide beam and stanchions meaning that there was no continuous 2m climb through the trap door/above the platform of the combination as required. ,Damage / Loss Of Equipment,Critical
A speedboat (6 pob) grounded resulting in a hole in the hull and the vessel being abandoned. Two of the crew sustained minor injuries. The vessel was still in situ whilst attempts for salvage were being planned. ,Grounding / Stranding,Medium
"A solo sailor was injured and the vessel's sail was damaged. The sail of the vessel was torn and the propeller was fouled by a rope. At the same time, when trying to address an engine issue, the skipper slipped on some oil and fell, sustaining a back injury which meant that they could not move due to the pain and tingling in their limbs. They transmitted a mayday message by VHF and the local lifeboat service attended. The lifeboat crew gave the skipper some pain medication and towed the vessel back to port, where the skipper went to hospital for further treatment. ",Loss Of Control,Low
An inland waterways vessel entered a lock chamber. As the bottom gates opened and the water receded the stern was on the cill. The bow lowered and started to take on water. The occupants were removed from the vessel with one person going to hospital for a suspected fractured ankle. The vessel was recovered the following day.,Grounding / Stranding,Medium
"A cargo vessel's pilot ladder did not conform to SOLAS regulations. The pilot ladder was secured by shackles around the side ropes only, ropes were rigged via rolling hitch to the side ropes but these were taking none of the weight and merely for show.",Damage / Loss Of Equipment,Critical
"A passenger on a water taxi reportedly fell about 6 feet (2 meters) on board and sustained a broken ankle. A search and rescue vessel that was in the area doing exercises at the time, responded and offered first aid. The passenger was taken ashore and the local ambulance service attended and took the injured passenger to hospital. ",Accident to person(s),Low
Container ship's pilot ladder did not conform to SOLAS regulations. Ladder secured with deck tongue and step wedged underneath all weight on step. ,Damage / Loss Of Equipment,Critical
"The vessel departed a port when they were turning, they lost propulsion in the anchorage had to drop it’s starboard anchor to  one shackle and a line was passed up to the vessels stern from the pilot boat assisted with vessels control until other towage assets  arrived. A workboat was also  in attendance, connecting a line to the bow of the vessel. And second workboat was on scene  also with a  harbour tug in attended and connected to the vessels starboard stern quarter. The vessel’s anchor was recovered turned successfully and headed out towards the pilot station where vessel continued passage towards destination port. The cause of the accident was a issues with main engine fuel pump",Loss Of Control,Critical
Pleasure sailing craft collided with pleasure RIB resulting in no damage or injuries.,Collision,Low
"A ferry was departing a quay to go into service for the early sailing. The electric shore power had been removed and the ropes released under instruction given to the night watchman. Once the ship attempted to move away from the quay a loss of power was reported. The ship had left the quay with only one of the two engines engaged. The ship began drifting however, a crew member was able to get a single rope back across to the night watchman who had remained on the quay and quickly fastened to the bollard. A crew member ran into the engine room and started the second unit. ",Loss Of Control,Critical
A ro-ro cargo vessel had an inadequate pilot ladder arrangement due to the fact that the weight was resting on a single step. ,Damage / Loss Of Equipment,Critical
General cargo vessel made contact with quay inner knuckle resulting in damage to a fender. No reported injuries or damage to vessel. ,Contact,Critical
Container ship's pilot ladder was not rigged to SOLAS regulations. Retrieval line permanently secured around middle of spreader step. Line leading aft not forward. No inner stanchion. Platform not level. Identification plate not visible on bottom spreader - assured it was there. Checked on boarding and actually on underside of spreader at 2m written in Chinese / English.,Damage / Loss Of Equipment,Critical
Crude oil tanker had a pilot on board as it was about to berth. The vessels alarm started to sound on the bridge followed by a black smoke emitting from the funnel. Pilot was informed that the vessel suffered a failure in the main engine which was shortly followed by a full blackout. 4 tugs assisted in order to position the vessel. The vessel was monitored throughout and power to the winches was restored after a couple of hours.  ,Loss Of Control,Critical
Cargo ship pilot ladder was not rigged per current SOLAS regulations due to the fact that the ladder was secured to the vessel handrails. ,Damage / Loss Of Equipment,Critical
A Ro/Ro passenger vessel grounded upon arrival to ferry terminal. There was minor hull damage and no injuries. The vessel refloated on its own and the master conducted tank and void space inspection and trimmed water and floated off on rising tide then berthed.,Grounding / Stranding,Low
"Container ship's pilot ladder did not conform to SOLAS regulations. Heaving line was not available for immediate use. A tripping line was fitted to the bottom of the ladder, or was rigged not in accordance with IMO Resolution. Ladder only secured by shackles over the side ropes. No stanchion on in board side of platform. I informed the Master and showed them pictures of how to rig the ladder and they still did it incorrectly. ",Damage / Loss Of Equipment,Critical
"A potting fishing vessel crewmember became entangled in the rope of a lobster pot whilst shooting and was dragged over board. They were recovered from the water with a twisted leg, which was broken. They were initially unresponsive and CPR was performed by the crew on board. The crewmember regained consciousness and was able to breathe on their own. They were extracted by helicopter and taken to the shoreside hospital for further treatment. ",Accident to person(s),Low
Container ship suffered an engine failure along with a small fire in the scavenger air receiver. The vessel was assisted to deep water anchorage by two tugs. The casualty vessel remained overnight in the deep anchorage with one tug on standby. An assessment of the technical situation occurred the following morning to determine if an onward tow would be needed. ,Fire / Explosion,Critical
"Passenger/Ro-Ro crew member injured back when lifting. Crew member felt sharp pain (8/10) in his lower back while lifting the box of frozen pizzas (9,5kg).",Accident to person(s),Low
"A tug was assisting a container ship when a tow parted. No injuries, no damages and gear was recovered. Both of them continued their passage. ",Damage / Loss Of Equipment,Critical
"A cruise ship passenger was stepping out of the shower but did not step on the towel bathmat provided and instead stepped onto the wet floor. The floor was slippery due to the water and the passenger slipped and fell, stretching out their right leg causing a strain which resulted in the rupture of the Achilles tendon on the right leg. There were no defects found in the cabin and the full lighting was on at the time of the incident. The passenger was not under the influence of alcohol or prescription medication at the time of the incident. The vessel had both stabilizer fins extended at the time of the incident. ",Accident to person(s),Low
Fishing vessel suffered an engine failure and requested a tow. Crew on board wore lifejackets and returned safely ashore. No further damages. ,Loss Of Control,Critical
A fishing vessel was leaving a harbour. As they were manoeuvring they collided with a moored fishing vessel. The moored fishing vessel attempted to hail the other vessel but there was no response. There were no injuries to crew and the the to the vessel was some paint scraped off.,Collision,Low
"The vessel suffered a malfunction of a water pump and as a result, a tow from a tug into port was required. No injuries to any persons onboard were confirmed.",Loss Of Control,Critical
"A fishing vessel suffered engine failure, the lone skipper was unsure if they would be able to deployed their anchor due to water depth. A search and rescue (SAR) was deployed and towed the vessel back to port.",Loss Of Control,Critical
A loss of containment was reported to have come from a tanker moored in a port. An inspection of the site and the vessel confirmed no loss of containment. It is possible that the report stemmed from a disgruntled employee of the previous owner. The MCA also attended vessel. This entry was made to ensure a continuous record in event of other spurious reports.,Loss Of Control,Critical
A cruise ship passenger was playing sport on board when they fell and sustained a fractured shoulder. They were playing 'pickleball' and fell during an attempt to catch the ball when they lost their balance. The area was inspected and no defects were found and it was well lit. ,Accident to person(s),Low
"A sailing yacht was navigating through a port area where there was a chain ferry (floating bridge). The sailing vessel became caught on the chains and had to be towed off by a search and rescue vessel. There were no injuries, damage or pollution reported. ",Contact,Critical
An offshore support vessel was departing from a port when it had a minor allision with a dock. The vessel suffered a minor indentation and the dock structure suffered minor damage.,Contact,Critical
"Diving vessel's crew sustained a finger injury which resulted in finger amputation. The static gear for diving purposes had become fast on the seabed. The slack rope fed through block on davit, under a hook and round the capstan (approximately 4 turns). Rope was being paid by the crew member using right hand. The wind and the tide caused the vessel to beam-on and the casualty to lose balance. The casualty used their left hand to steady themselves when their fingers got caught between the rope and capstan. They required further medical assistance. ",Accident to person(s),Low
"A bulk carrier had an inadequate pilot ladder arrangement because the hand holds were not rigged. The crew were informed of this by the pilot at the time, and reportedly were aware of the requirement but had not rigged the hand rails. ",Damage / Loss Of Equipment,Critical
Inland passenger vessel's crew member slipped due to wet floor and sustained multiple sprained injuries. ,Accident to person(s),Low
"Potential pollution event occurred during routine discharge of laundry grey water from the Starboard Laundry Tank. Laundry drain tanks are in proximity to a previous Contained Oil Leakage that occurred on the 31st January. Upon inspection the Environmental Officer and Chief Engineer observed that the “Starboard Laundry Tank” appeared to contain a very slight amount of oil within. The dedicated discharge pump of the laundry drain tanks was also observed to contain traces of oil in its suction strainer, It was estimated that the volume of oil within the Starboard laundry tank was no more than 20 litres. ",Loss Of Control,Critical
"A inshore ro-pax vessel was carrying out engine trials without passengers or cargo on board when it experienced propulsion failure. The vessel's crew managed to restart the engine but were only able to proceed at 1kt, the local search and rescue services then attended and towed the vessel back to port. There were no injuries, damages or pollution. ",Loss Of Control,Critical
"A cruise ship dancer was taking part in a performance when they lost their balance and fell. They sustained a sprained ankle as a result of the fall which required them to have 9 days off work. They also dislocated their shoulder however they reported that they had a hypermobility condition, so dislocation was normal for them and they had already popped their shoulder back in before they sought medical attention. They were wearing performance footwear and were not under the influence of alcohol. There were no defects on the stage. The crew member reported that the incident was caused by them losing balance.",Accident to person(s),Low
"A cruise ship passenger was using the sauna, when they decided to change position. After descending from one of the upper benches, the passenger slipped on the floor and fell forward. They extended their arm to break their fall and sustained a fractured humerus. The location was inspected by the crew and found to be well lit with no defects that contributed to the fall.",Accident to person(s),Low
A bulk carrier had an inadequate pilot ladder arrangement because it was secured using shackles and the retrieval line (tripping line) was secured too low.,Damage / Loss Of Equipment,Critical
A general cargo was departing from port when it grounded on a bank and refloated. The vessel inspected for damage and there was none found and the vessel was able to proceed and berth as planned. ,Grounding / Stranding,Low
A cruise ship passenger was walking in the restaurant area when they fell whilst going up a step to a raised area. They landed on their shoulder and sustained a fracture. The passenger had recently had a cataract removal operation and their eyes were sensitive to the light making it difficult to see. The sea condition was also rough with gale force winds. The passenger was stabilized on board in the medical centre before being disembarked to hospital at the next port.,Accident to person(s),Low
"A ro-ro vessel shore worker was struck by a forklift truck and sustained serious injuries. During discharging operations, a shore worker was driving a forklift down the loading ramp to discharge slate whilst four other shore workers were preparing ropes on the ramp in preparation for the loading of excavators. The injured shore worker was crouching down to move the ropes when the forklift driver struck them. They did not see the crouching shore worker and they did not hear the warning shouts of the other shore workers due to wearing ear defenders. The injured shore worker was taken to hospital and required surgery to repair the damage to their leg. The forklift worker was shaken by the incident. There were no damages or other injuries. ",Accident to person(s),Low
"A pilot was boarding a general cargo vessel, as they reached the top of the ladder the pilot transferred their hands to the handholds either side of the boarding position. The pilot's left hand slipped off the handhold and they could not hold with the right hand, resulting in falling 3metres to the deck of the pilot cutter.",Accident to person(s),Low
"Charter vessel suffered engine problems however, they managed to proceed back ashore without requiring a tow. All passengers wore lifejackets. ",Loss Of Control,Critical
"A cruise ship passenger was walking out of a restaurant when they tripped on their clothing and fell, resulting in a fractured hip. The passenger was seen to by the medical team onboard and spent the night in the medical centre. The passenger was disembarked for further treatment at hospital.",Accident to person(s),Low
Hopper Dredger's pilot ladder not rigged per SOLAS regulations.,Damage / Loss Of Equipment,Critical
Berthing master attended the sailing of a Ro/Ro cargo vessel and noticed a stern line had parted. The vessel confirmed this was the case. No persons were injured. ,Damage / Loss Of Equipment,Critical
"A fishing vessel suffered a steering malfunction, they believed there was air in the system. They were unable to resolve the issue and the vessel was towed to port. ",Loss Of Control,Critical
Container ship's pilot ladder not rigged per SOLAS regulations.,Damage / Loss Of Equipment,Critical
Fishing vessel crew member injured their ankle after dropping fishing gear on it. A search and rescue (SAR) vessel and Coastguard team were tasked to assist the ambulance service with the transfer of the casualty to the care of the ambulance service.,Accident to person(s),Low
"A tug had just connected a tow line to a container ship during departure operations and when moving into position, the stern of the tug was caught by the tide, pushing the tug into the bow of the ship. The mast of the tug came into contact with the flare of the container ship's starboard bow, resulting in bends and cracks to the tugs mast. ",Collision,Low
A general cargo vessel was alongside during loading operations when there was a small isolated cargo fire in the hold. The local fire brigade attended to assist the vessels crew. Fire quickly extinguished and no reported damage to the vessel or injuries. The fire is believed to be caused by battery mixed with the cargo beyond the ships and management control. ,Fire / Explosion,Critical
Bulk carrier's ladder was not rigged per current SOLAS regulations. Ladder secured only with shackles between the steps.,Damage / Loss Of Equipment,Critical
Investigated by another state,Grounding / Stranding,High
"The vessel started its main engines alongside the quay from the offshore mooring buoy. The starboard central engine jacket water heater caught fire after overheating, and surrounding paint and cables ignited producing smoke and flame. The chief engineer raised the alarm by telephoning the bridge, the bridge sounded the General Alarm mustering the crew and advising them to suit up the firefighters with SCABA and standby for the chief engineer's instructions. In the interim, the chief engineer had stopped the main engine, isolated the contactor to the jacket water heater, then returned to the fire scene and extinguished it with a portable CO2 extinguisher. The vessel ",Fire / Explosion,Critical
"A ro-pax crew member was pulling a box off a shelf at head height rather than lifting it, when they felt pain in their back. The crew member had not checked what was in the box before moving it, the approximate weight was around 11kgs. The crew member was administered pain relief and advised to rest. The crew member disembarked the same day.",Accident to person(s),Low
Fishing vessel's gearbox failed resulting in a tow from another fishing vessel. The casualty vessel was not in danger at any point. ,Loss Of Control,Critical
"A general cargo vessel had an inadequate pilot ladder arrangement due to the fact that the ladder was rigged using shackles, there was no heaving line available, no life buoy with self-igniting light available, a tripping line was rigged and the ladder as a whole was in very poor condition. The pilot reported that the crew also seemed to not be well trained in the correct rigging procedure.",Damage / Loss Of Equipment,Critical
RIB passenger unresponsive. Conflicting reports given. One that the vessel had run aground and the passenger suffered a medical episode after trying to push the vessel to deeper water. The other report suggested that the passenger became unresponsive first and then the vessel drifted ashore and grounded whilst the crew tried to give them medical attention.,Grounding / Stranding,Low
Container ship's pilot ladder did not conform to SOLAS regulations. Accommodation ladder not lashed to side of vessel. Securing points were too low and would have hindered Pilot Boat approach. No magnets onboard,Damage / Loss Of Equipment,Critical
Oil tanker crewmember lacerated their finger while rigging an accommodation ladder. The casulaty was winched from the vessel and delivered to hospital as they were unable to climb a ladder. ,Accident to person(s),Low
Motor cruiser suffered an engine fire but was extinguished before SAR arrived on scene. 4 POB which suffered an engine fire north of the Severn Bridge. The fire was extinguished before SARA arrived alongside and escorted the vessel to Portishead marina.,Fire / Explosion,Medium
A passenger vessels passenger sustained head injury resulting in MEDIVAC.,Accident to person(s),Critical
An angling vessel sank after the crew put the anchor over the stern causing the vessel to capsize. The crew were rescued unharmed but the vessel was lost.,Flooding / Foundering,High
"On board a cruise ship smoke began to escape from the garbage incinerator through a garbage delivery hatch that was wedged open due to too much garbage in the shoot. The emergency team on board were mustered and responded to the situation, discovering the issue quickly and shutting down the incinerator at the local controls. There was no damage, pollution or injuries. ",Fire / Explosion,Critical
"Yacht collided with a bridge resulting in both casualties to fall however, only one was injured. They were evacuated by an ambulance for further medical assistance. Confirmed intoxication. ",Contact,Low
A service vessels accommodation ladder fell from jetty resulting in a near miss accident. Accommodation ladder had been a adjusted as it had been getting close to the jetty edge with winds picking up. All lines and ladder were considered secure. Later informed the gangway had been adjusted again but a squall had just passed through and the accommodation ladder had blown off the jetty.,Damage / Loss Of Equipment,Critical
"A cruise ship's passenger lost there footing and fell resulting in a closed fracture to the hip. The passenger was going from the restaurant to their cabin when as they went to enter a lift and the door began to close. This caused the passenger to step backwards, lose their footing and fall to the floor, resulting in a fracture of their hip",Accident to person(s),Low
A cruise ships passenger slipped in a shower resulting in a closed fracture to the knee. While transferring from a wheelchair to the shower bench the passenger slipped injuring there knee.,Accident to person(s),Low
"The aft tug was connected centre lead aft on the line using a 30 metres fixed line. Prior to swinging in the turning circle, the tug peeled off the port quarter. The vessel swung to starboard with the tug keeping only a tight line. The tug then reported that the tow line came off the hook (on the tugs side) as a result of the locking mechanism not being set properly after a release test, cleaning and greasing. The tug utilised the ahead engine to prevent the rope entering the ships propeller. Ships crew instructed to heave up tow line and it was cleared from the water without fouling the propeller. No damages reported. ",Damage / Loss Of Equipment,Critical
A Ro/Ro passenger vessel suffered a black out with bot main engines stopped. The cause was a contaminated MGO which clogged up the filters and lost pressure to the engines.. The crew rectified the issue and the vessel continued passage. There was no damage or pollution.,Loss Of Control,Critical
"A search and rescue (SAR) vessel was on a routine patrol. The vessel was crewed by two people; the helm and another crew member. The crew member thought they saw something in the water and stood up to gain a better view. As they stood up, the helm made a turn and the crew member overboard. The crew member was hit in the head by the propeller guard causing a minor injury.",Accident to person(s),Critical
A ro/ro passenger vessel was alongside while vehicle traffic was being loaded onto the car deck and in order to stow the freight in the stern of the vessel the aft section of the mezzanine deck was raised to deck head level.  Meanwhile the forward ramp section was at car deck level ready for loading. The ABs were lashing the freight when the loading officer called for a high vehicle to be sent from the car park to be stowed. Instead mezzanine deck cars were sent and directed up the mezzanine deck. A crew member further down the deck indicated to the drivers to stop before they reached the un-barriered edge of the half stowed deck. ,Accident to person(s),Critical
"A recreational motor vessel grounded on mud. The vessel was stuck fast and the two crew on board were rescued by search and rescue teams. The vessel was secured by using its anchor and later re-floated, undamaged. There were no injuries. ",Grounding / Stranding,Low
"A ro-ro cargo vessel was on approach to a port, smoke was seen coming from one of the containers containing coal and wood briquettes. No visible flames were seen, the container was opened to allow access for water spray on the smoking cargo in an attempt to stop a possible fire. The vessel arrived in port, the fire service attended but was not required due to the container not being at risk of igniting. The container was removed from the vessel.",Fire / Explosion,Critical
A cruise ship's passenger slipped on wet floor resulting in a closed fracture to the arm.,Accident to person(s),Low
A cruise ship passenger was leaving the bathroom area in their cabin when they tripped and fell into a piece of furniture resulting in a broken shoulder. The passenger didn't report to the medical center on board until 5 days after the accident. The reason for the trip was not confirmed but reported to be lack of attention when exiting the cabin bathroom. There were no defects or damages found in the cabin. ,Accident to person(s),Low
Cruise ship's passenger tripped on a lounge chair and fell forward resulting in a a shoulder fracture. ,Accident to person(s),Low
"A cruise ship passenger was walking through a door when it closed on them, knocking them to the floor where they landed on their right side. They sustained a fractured arm and were given medical treatment by the vessel's doctor. There were no damages or pollution.",Accident to person(s),Low
"A cargo vessel was conducting unmooring operations when the oil level alarm appeared on the main engine clutch. The connection between the the main engine and propeller shaft was lost. Due to the strong current, the Master decided to drop anchor. The Chief Engineer added oil to the gearbox and the connection between the Main Engine and propeller shaft was restored. The anchor was heaved up and the vessel proceeded to its destination. ",Loss Of Control,Critical
"A beam trawler experienced propulsion failure due to a crack in a manifold that allowed water to enter the engine and disable it. After calling for help, the vessel was towed back to port by another fishing vessel.",Loss Of Control,Low
"A container ship was on approach into port, as the vessel was transiting the main channel the side shell door kept opening. Due to the weather conditions, the heavy swell caused the vessel to roll heavily and water enter through the open door and flow into the engine room and reach the main engine hydraulic unit. This activated the main engine shut down safety. The port authority was notified, crew cleaned the hydraulic leakage alarm sensor and further testing showed the main engine to be in normal working condition. The vessel then proceeded to anchorage.",Loss Of Control,Critical
"A cruise ship passenger was walking across a restaurant area carrying a plate in both hands. As the passenger exited through sliding doors, they tripped on a mat placed just outside the sliding doors. The passenger fell forwards but did not extend their arms to break the fall. The passenger did not attend the medical centre until later in the day where they were treated for a fracture to the right shoulder. The area was inspected and no defects or deficiencies were found. The area was well lit by natural light.",Accident to person(s),Low
"A cruise ship crewmember was climbing down from their bunk when the hook for the ladder broke, causing them to fall to the deck below and fracture a limb. The cause of the accident was attributed to the hook of the ladder broken, which was later repaired. The crew member signed off due to their injury. ",Accident to person(s),Low
A cruise ship passenger fell out of bed and landed on their left shoulder. The passenger was taken to the medical centre and was diagnosed with a fractured left clavicle.,Accident to person(s),Low
"A barge was being shifted with the assistance of a tug when the barge master attempted to pull free one of the lines that was snagged on an obstruction. However, they lost their balance and fell into the water. Their lifejacket activated and they were recovered by their other crew members. They were checked over and were not injured and were able to resume the operation after changing. The reason for the person falling overboard was reported to be due to the crew member standing in a dangerous location when trying to free the snag. There were no damages or pollution as a result of the incident.",Accident to person(s),Critical
A tanker had an inadequate pilot ladder arrangement due to the fact that it was in poor condition. The steps were loose because of loose chocks and lashings.,Damage / Loss Of Equipment,Critical
A dive support vessel was manoeuvring when leaving port when one of the bow thrusters cut out and the skipper could not control the swing. The vessel swing and struck a moored sailing catamaran. The catamaran sustained damage to the gel coat. There was no damage to the dive support vessel and no injuries or pollution.,Collision,Low
"An inshore tug was acting as a mooring vessel for a vessel that was berthing. After the crew of the tug put the mooring rope onto the shore dolphin, the crew of the other vessel started to heave the line in the water, causing it to drift under the hull of the tug and become entangled in the propellor. The crew of the tug managed to clear the propellor by cutting the mooring line. There were no injuries, pollution or further damages, other than the cut line. ",Damage / Loss Of Equipment,Critical
General cargo vessel's pilot ladder was not rigged in compliance with SOLAS guidance.,Damage / Loss Of Equipment,Critical
"A general cargo vessel crewmember was descending a staircase in the engine room when they fell down. They hit their head on the way down sustaining superficial injuries such as bruises and cuts to the head, shoulder and chest. They were taken ashore for a check up at the hospital. ",Accident to person(s),Critical
"A single handed fishing vessel suffered propulsion failure due to engine transmission problems. It was towed back to port. There were no injuries, damage or pollution. ",Loss Of Control,Critical
"Fishing vessel's net got stuck on the propeller and resulted in the vessel to drift. There was no immediate danger to the vessel however, the weather conditions were bad so they requested a tow. No further damage reported. ",Loss Of Control,Critical
Cargo ship's pilot ladder did not conform to SOLAS regulations. Vessel using shackles to make the Pilot ladder fast. Crew expressed problems with other methods of securing due to the vessels construction around the boarding area,Damage / Loss Of Equipment,Critical
A search and rescue (SAR) vessel was conducting training when the vessel made contact with the end of a slipway. The contact made the vessel stop and some impact went through the bilge keel aft end. Damage to the vessel above the stainless steel keel shoe and the keel shoe was reported. No further damages or injuries reported.,Contact,Critical
A search and rescue vessel (SAR) was out on a training exercise when the coxswain had to leave the helm for about 45 seconds. Another crewmember took the helm who was less familiar with the area and went the wrong way around an east cardinal mark (to the east of it) and the vessel grounded on the soft mud. There was no damage reported and the vessel was able to refloat on it's own using is own power to come away by going astern. The vessel was going about 3kts at the time of the grounding. ,Grounding / Stranding,Low
Port tender vessel reported port engine issues. No further damage reported. ,Loss Of Control,Critical
